Date,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
29-05-1990,8.57387179,-0.28475113,0.43829762,-0.85316748,2.97269238,0.32371921
30-05-1990,8.4701328,-0.07735502,0.50860059,-1.30251609,3.8889791,0.30852538
31-05-1990,8.49711498,-0.2140523,0.52710929,-0.95498817,2.33525236,0.39840757
01-06-1990,8.37570618,-0.4796507,0.49054062,-0.26021696,2.1433444,0.39355168
04-06-1990,6.92891731,1.37654667,2.31174206,-1.41527743,18.47875452,0.3090378
05-06-1990,6.94379891,1.36664479,2.43495476,-1.29376513,16.69215654,0.32058836
06-06-1990,6.9644715,1.39588943,2.20728469,-1.42949381,17.9905679,0.31663751
07-06-1990,6.94570676,1.38400082,2.26632014,-1.39255319,17.49840311,0.30358578
08-06-1990,6.93654328,1.37509444,2.39042572,-1.36192592,16.35569914,0.29823158
11-06-1990,6.51048768,1.83183283,2.84054688,-1.32200831,19.68118003,0.29953279
12-06-1990,6.52106495,1.84428478,2.74084548,-1.35052782,20.84706123,0.31211139
13-06-1990,5.97108618,2.22304957,3.71260812,-1.38206085,20.10211732,0.21637535
14-06-1990,5.93922841,2.20820422,3.80901866,-1.01890009,19.30811277,0.28355733
15-06-1990,6.02897739,2.26224511,3.51959525,-1.1653473,21.07000049,0.32883807
18-06-1990,6.05889832,2.29262408,3.43201133,-1.26526518,21.87458994,0.29853693
19-06-1990,6.07346708,2.30083793,3.39581736,-1.38940214,22.06393918,0.27754713
20-06-1990,6.08592699,2.28097862,3.67506489,-1.2565211,19.30770865,0.29044614
21-06-1990,6.07471841,2.27820046,3.58583674,-1.31988084,21.10933256,0.25554576
22-06-1990,6.03892945,2.24950475,3.8224177,-1.13706642,19.30995832,0.24778517
25-06-1990,6.12631503,2.23263065,3.7941786,-1.19797825,19.17041866,0.27609376
26-06-1990,6.12620972,2.25305472,3.58266215,-1.29678842,19.97038383,0.26345462
27-06-1990,6.06391476,2.15006838,4.10717303,-0.93122939,16.42674098,0.22622429
28-06-1990,6.04311289,2.10380007,4.13384956,-0.87593461,16.58631594,0.22790443
29-06-1990,8.18185297,-0.28871959,1.1173359,-0.31496238,4.7688111,0.18836923
02-07-1990,5.50621274,2.61411462,4.71624055,-0.67430914,18.81681321,0.34616624
03-07-1990,5.4414425,2.5333409,5.22842938,-0.78635752,16.86977056,0.12954963
05-07-1990,5.5039207,2.6132999,4.74201679,-0.82092342,19.98905064,0.33575224
06-07-1990,5.58883494,2.66311694,4.55881246,-1.02788229,21.50989185,0.27753942
09-07-1990,5.57309928,2.63797282,4.93419686,-0.74669894,18.27969441,0.24175617
10-07-1990,5.61966275,2.68347511,4.59954196,-1.01220891,20.75861567,0.27265279
11-07-1990,5.59877275,2.66147038,4.76541192,-0.9032109,20.07255284,0.27050949
12-07-1990,4.22522142,3.87746496,6.87187334,-0.69621337,21.07076872,0.48083914
13-07-1990,4.16556675,3.82646078,7.13286821,-0.61655927,20.19245049,0.39281802
